,0
0,37.46188340807175
1,31.73542600896861
2,30.90134529147982
3,26.1390134529148
4,28.865470852017935
5,27.349775784753362
6,26.7847533632287
7,29.533632286995516
8,33.17937219730942
9,33.00448430493274
10,32.08968609865471
11,33.98654708520179
12,35.74887892376682
13,32.42152466367713
14,30.0
15,27.116591928251122
16,27.336322869955158
17,27.130044843049326
18,27.63677130044843
19,31.63677130044843
20,32.60986547085202
21,34.488789237668165
22,35.44394618834081
23,36.84304932735426
24,38.300448430493276
25,34.18834080717489
26,33.46188340807175
27,30.856502242152466
28,30.013452914798208
29,33.74439461883408
30,33.56502242152467
31,37.39013452914798
32,41.502242152466366
33,38.88789237668161
34,41.36322869955157
35,41.2152466367713
36,40.54260089686099
37,37.96860986547085
38,36.426008968609864
39,34.81614349775785
40,36.139013452914796
41,35.92825112107624
42,38.08968609865471
43,37.91479820627803
44,41.57847533632287
45,43.32286995515695
46,42.233183856502244
47,48.52466367713004
48,42.37219730941704
49,37.96860986547085
50,37.75336322869955
51,33.54708520179372
52,40.30493273542601
53,39.2017937219731
54,37.91479820627803
55,38.38116591928251
56,40.43946188340807
57,42.82511210762332
58,46.130044843049326
59,52.690582959641254
60,53.07174887892376
61,46.74887892376682
62,45.38116591928251
63,41.30493273542601
64,45.62331838565022
65,45.95964125560538
66,46.97757847533632
67,45.408071748878925
68,47.672645739910315
69,50.65022421524664
70,51.2017937219731
71,56.90582959641256
72,56.47982062780269
73,48.19730941704036
74,48.130044843049326
75,46.65022421524664
76,52.327354260089685
77,47.90134529147982
78,43.973094170403584
79,45.25560538116592
80,50.44394618834081
81,54.964125560538115
82,55.92825112107624
83,55.81165919282511
84,53.9237668161435
85,49.60986547085202
86,48.37219730941704
87,45.591928251121075
88,50.51569506726457
89,49.143497757847534
90,44.00448430493274
91,43.43946188340807
92,47.309417040358746
93,48.52914798206278
94,53.63228699551569
95,57.587443946188344
96,54.417040358744394
97,61.83856502242153
98,46.48430493273543
99,25.89237668161435
100,23.37219730941704
101,21.349775784753362
